episode,reward,shortage,wastage,epsilon
1,-1415.2500000000005,1415.2500000000005,0.0,0.99
2,-1457.8125000000002,1457.8125000000002,0.0,0.9801
3,-1482.6490959480802,1482.6490959480802,0.0,0.9702989999999999
4,-1533.4923157868554,1533.4923157868554,0.0,0.96059601
5,-1422.1367887899646,1422.1367887899646,0.0,0.9509900498999999
6,-1360.5078125,1360.5078125,0.0,0.9414801494009999
7,-1453.9999999999995,1453.9999999999995,0.0,0.9320653479069899
8,-1361.644955105252,1361.644955105252,0.0,0.92274469442792
9,-1446.11713218689,1446.11713218689,0.0,0.9135172474836407
10,-1514.0187072753909,1514.0187072753909,0.0,0.9043820750088043
11,-1363.7986111111115,1363.7986111111115,0.0,0.8953382542587163
12,-1487.0000000000005,1487.0000000000005,0.0,0.8863848717161291
13,-1469.1053513420948,1469.1053513420948,0.0,0.8775210229989678
14,-1255.6805555555557,1255.6805555555557,0.0,0.8687458127689781
15,-1410.7063786527194,1409.7063786527194,1.0,0.8600583546412883
16,-1279.6961805555559,1279.6961805555559,0.0,0.8514577710948754
17,-1539.248779296874,1539.248779296874,0.0,0.8429431933839266
18,-1532.5286458333333,1532.5286458333333,0.0,0.8345137614500874
19,-1360.225569407145,1360.225569407145,0.0,0.8261686238355865
20,-1415.326900588142,1409.326900588142,6.0,0.8179069375972307
21,-1212.1386718750002,1210.1386718750002,2.0,0.8097278682212583
22,-1180.5027357737226,1180.5027357737226,0.0,0.8016305895390458
23,-1389.3203168901396,1389.3203168901396,0.0,0.7936142836436553
24,-1549.3702799479167,1549.3702799479167,0.0,0.7856781408072188
25,-1512.3518993085318,1512.3518993085318,0.0,0.7778213593991465
26,-1273.8722635904949,1273.8722635904949,0.0,0.7700431458051551
27,-1269.7494504500805,1269.7494504500805,0.0,0.7623427143471035
28,-1430.0000000000005,1430.0000000000005,0.0,0.7547192872036325
29,-1518.5716145833326,1518.5716145833326,0.0,0.7471720943315961
30,-1475.470703125,1475.470703125,0.0,0.7397003733882802
31,-1452.0000000000005,1452.0000000000005,0.0,0.7323033696543974
32,-1345.5449666976929,1345.5449666976929,0.0,0.7249803359578534
33,-1461.6249999999993,1461.6249999999993,0.0,0.7177305325982748
34,-1508.9999999999995,1508.9999999999995,0.0,0.7105532272722921
35,-1439.9845217682741,1439.9845217682741,0.0,0.7034476949995692
36,-1312.8953030091259,1307.8953030091259,5.0,0.6964132180495735
37,-1370.5000000000002,1370.5000000000002,0.0,0.6894490858690777
38,-1526.6116265190976,1526.6116265190976,0.0,0.682554595010387
39,-1602.1005086736914,1593.1005086736914,9.0,0.6757290490602831
40,-1464.0555555555559,1464.0555555555559,0.0,0.6689717585696803
41,-1183.4375,1183.4375,0.0,0.6622820409839835
42,-1472.1874999999998,1472.1874999999998,0.0,0.6556592205741436
43,-1346.4498291015627,1346.4498291015627,0.0,0.6491026283684022
44,-1324.9984266493057,1324.9984266493057,0.0,0.6426116020847181
45,-1237.0807291666663,1237.0807291666663,0.0,0.6361854860638709
46,-1555.146372477213,1555.146372477213,0.0,0.6298236312032323
47,-1468.9999999999998,1468.9999999999998,0.0,0.6235253948912
48,-1557.6811514960398,1557.6811514960398,0.0,0.617290140942288
49,-1304.3431956635584,1304.3431956635584,0.0,0.6111172395328651
50,-1390.72887963817,1390.72887963817,0.0,0.6050060671375365
51,-1507.0,1507.0,0.0,0.5989560064661611
52,-1482.316813151041,1482.316813151041,0.0,0.5929664464014994
53,-1459.375,1459.375,0.0,0.5870367819374844
54,-1500.3622379571623,1500.3622379571623,0.0,0.5811664141181095
55,-1560.8333333333335,1559.8333333333335,1.0,0.5753547499769285
56,-1385.0,1382.0,3.0,0.5696012024771592
57,-1510.2974781067783,1510.2974781067783,0.0,0.5639051904523876
58,-1142.7985079002317,1142.7985079002317,0.0,0.5582661385478638
59,-1480.3666381835935,1480.3666381835935,0.0,0.5526834771623851
60,-1397.2777777777778,1393.2777777777778,4.0,0.5471566423907612
61,-1366.0000000000002,1366.0000000000002,0.0,0.5416850759668536
62,-1369.2941894531248,1369.2941894531248,0.0,0.536268225207185
63,-1499.4371122997757,1499.4371122997757,0.0,0.5309055429551132
64,-1397.429168073238,1397.429168073238,0.0,0.525596487525562
65,-1309.2378811836245,1306.2378811836245,3.0,0.5203405226503064
66,-1321.5559895833335,1321.5559895833335,0.0,0.5151371174238033
67,-1356.5302734374998,1356.5302734374998,0.0,0.5099857462495653
68,-1330.875,1324.875,6.0,0.5048858887870696
69,-1478.6666666666672,1478.6666666666672,0.0,0.4998370298991989
70,-1517.9999999999998,1517.9999999999998,0.0,0.49483865960020695
71,-1569.0000000000002,1569.0000000000002,0.0,0.4898902730042049
72,-1321.9651571726445,1321.9651571726445,0.0,0.48499137027416284
73,-1709.11865234375,1709.11865234375,0.0,0.4801414565714212
74,-1341.0000000000002,1341.0000000000002,0.0,0.475340042005707
75,-1372.0000000000002,1371.0000000000002,1.0,0.47058664158564995
76,-1464.0490570068364,1464.0490570068364,0.0,0.4658807751697934
77,-1491.0894663304464,1491.0894663304464,0.0,0.4612219674180955
78,-1501.4347839355464,1501.4347839355464,0.0,0.45660974774391455
79,-1584.21875,1584.21875,0.0,0.4520436502664754
80,-1345.6729039774536,1345.6729039774536,0.0,0.44752321376381066
81,-1307.14453125,1307.14453125,0.0,0.44304798162617254
82,-1510.9242293746388,1507.9242293746388,3.0,0.4386175018099108
83,-1460.8750000000002,1460.8750000000002,0.0,0.4342313267918117
84,-1408.3046905069411,1408.3046905069411,0.0,0.4298890135238936
85,-1459.435112847222,1459.435112847222,0.0,0.42559012338865465
86,-1392.3515625,1392.3515625,0.0,0.4213342221547681
87,-1349.8653462727866,1347.8653462727866,2.0,0.41712087993322045
88,-1427.333648122027,1427.333648122027,0.0,0.41294967113388825
89,-1233.1539855033366,1233.1539855033366,0.0,0.40882017442254937
90,-1481.7500000000002,1481.7500000000002,0.0,0.4047319726783239
91,-1380.0,1373.0,7.0,0.40068465295154065
92,-1438.7499999999995,1437.7499999999995,1.0,0.39667780642202527
93,-1617.0,1617.0,0.0,0.392711028357805
94,-1586.264663437266,1586.264663437266,0.0,0.38878391807422696
95,-1596.7578125000005,1596.7578125000005,0.0,0.3848960788934847
96,-1620.0000000000002,1620.0000000000002,0.0,0.38104711810454983
97,-1558.5722656249995,1558.5722656249995,0.0,0.37723664692350434
98,-1500.184076003086,1500.184076003086,0.0,0.37346428045426927
99,-1358.3468669255574,1358.3468669255574,0.0,0.36972963764972655
100,-1624.2836100260417,1624.2836100260417,0.0,0.36603234127322926
101,-1419.8409612708622,1419.8409612708622,0.0,0.36237201786049694
102,-1403.012443844196,1403.012443844196,0.0,0.358748297681892
103,-1380.125,1380.125,0.0,0.35516081470507305
104,-1416.1629028320312,1416.1629028320312,0.0,0.3516092065580223
105,-1512.4356587727864,1512.4356587727864,0.0,0.34809311449244207
106,-1516.0000000000002,1516.0000000000002,0.0,0.34461218334751764
107,-1394.699488798777,1394.699488798777,0.0,0.34116606151404244
108,-1484.9270833333335,1484.9270833333335,0.0,0.337754400898902
109,-1467.7224598637333,1467.7224598637333,0.0,0.334376856889913
110,-1304.3393012152771,1304.3393012152771,0.0,0.33103308832101386
111,-1676.3040737509727,1676.3040737509727,0.0,0.3277227574378037
112,-1505.9687500000002,1505.9687500000002,0.0,0.3244455298634257
113,-1480.8125,1480.8125,0.0,0.3212010745647914
114,-1314.5159143518517,1314.5159143518517,0.0,0.3179890638191435
115,-1453.8829169881687,1453.8829169881687,0.0,0.31480917318095203
116,-1483.8137007819282,1483.8137007819282,0.0,0.3116610814491425
117,-1334.1478871191393,1334.1478871191393,0.0,0.30854447063465107
118,-1377.5,1377.5,0.0,0.30545902592830454
119,-1521.4999999999993,1521.4999999999993,0.0,0.3024044356690215
120,-1573.0678441789412,1573.0678441789412,0.0,0.29938039131233124
121,-1299.5000000000002,1299.5000000000002,0.0,0.2963865873992079
122,-1307.0,1307.0,0.0,0.29342272152521587
123,-1255.9529171093009,1255.9529171093009,0.0,0.2904884943099637
124,-1347.410083912037,1347.410083912037,0.0,0.28758360936686406
125,-1346.6719967135462,1346.6719967135462,0.0,0.2847077732731954
126,-1425.643229166667,1425.643229166667,0.0,0.28186069554046345
127,-1580.0000000000002,1580.0000000000002,0.0,0.2790420885850588
128,-1341.3333333333333,1341.3333333333333,0.0,0.2762516676992082
129,-1500.7244888117286,1500.7244888117286,0.0,0.27348915102221616
130,-1406.3750000000002,1406.3750000000002,0.0,0.270754259511994
131,-1431.4218749999998,1431.4218749999998,0.0,0.26804671691687404
132,-1539.0000000000002,1539.0000000000002,0.0,0.2653662497477053
133,-1422.2413376172385,1422.2413376172385,0.0,0.2627125872502282
134,-1437.4570312499998,1437.4570312499998,0.0,0.2600854613777259
135,-1504.245391156938,1504.245391156938,0.0,0.2574846067639487
136,-1618.7500000000005,1615.7500000000005,3.0,0.2549097606963092
137,-1664.0000000000002,1664.0000000000002,0.0,0.2523606630893461
138,-1484.2187499999995,1484.2187499999995,0.0,0.24983705645845267
139,-1618.2015092637805,1618.2015092637805,0.0,0.24733868589386815
140,-1525.7499999999998,1525.7499999999998,0.0,0.24486529903492946
141,-1396.1875000000002,1396.1875000000002,0.0,0.24241664604458016
142,-1553.7941487630214,1553.7941487630214,0.0,0.23999247958413436
143,-1373.6949157714846,1373.6949157714846,0.0,0.23759255478829303
144,-1536.514068114137,1536.514068114137,0.0,0.2352166292404101
145,-1443.11643825637,1443.11643825637,0.0,0.232864462948006
146,-1418.0000000000005,1418.0000000000005,0.0,0.23053581831852593
147,-1195.8402777777778,1195.8402777777778,0.0,0.22823046013534068
148,-1528.8749999999998,1528.8749999999998,0.0,0.22594815553398728
149,-1606.2854817708333,1606.2854817708333,0.0,0.22368867397864742
150,-1400.0,1400.0,0.0,0.22145178723886094
151,-1494.2576678240735,1494.2576678240735,0.0,0.21923726936647234
152,-1300.8919605013302,1300.8919605013302,0.0,0.2170448966728076
153,-1348.9296875000005,1348.9296875000005,0.0,0.21487444770607952
154,-1345.386024142425,1339.386024142425,6.0,0.21272570322901874
155,-1416.4341445479645,1416.4341445479645,0.0,0.21059844619672854
156,-1303.28369140625,1303.28369140625,0.0,0.20849246173476127
157,-1466.8335088061322,1466.8335088061322,0.0,0.20640753711741366
158,-1349.6560761816106,1349.6560761816106,0.0,0.20434346174623952
159,-1368.9166666666667,1368.9166666666667,0.0,0.20230002712877712
160,-1400.4999999999995,1400.4999999999995,0.0,0.20027702685748935
161,-1387.333333333333,1387.333333333333,0.0,0.19827425658891445
162,-1480.2864583333335,1480.2864583333335,0.0,0.1962915140230253
163,-1470.0817150485152,1470.0817150485152,0.0,0.19432859888279505
164,-1310.6211208619545,1310.6211208619545,0.0,0.1923853128939671
165,-1429.34375,1429.34375,0.0,0.19046145976502743
166,-1478.1041666666665,1478.1041666666665,0.0,0.18855684516737714
167,-1373.0,1373.0,0.0,0.18667127671570335
168,-1441.8272885018384,1441.8272885018384,0.0,0.18480456394854633
169,-1243.4335937499998,1243.4335937499998,0.0,0.18295651830906087
170,-1402.450044825121,1400.450044825121,2.0,0.18112695312597027
171,-1552.0000000000005,1552.0000000000005,0.0,0.17931568359471056
172,-1415.8671874999995,1406.8671874999998,9.0,0.17752252675876345
173,-1356.8072916666667,1356.8072916666667,0.0,0.17574730149117582
