episode,reward,shortage,moving_avg_reward,epsilon
1,-1608.7088531361787,1303.9725687574526,-1608.7088531361787,0.999
2,-2250.7248110672363,1346.5623005854445,-1929.7168321017075,0.998001
3,-2131.8976493779764,1267.7437289566283,-1997.110437860464,0.997002999
4,-1682.3019875496689,1161.8802451190631,-1918.408325282765,0.996005996001
5,-2388.7421942638553,1359.9221115052012,-2012.475099078983,0.995009990004999
6,-1939.8744507010558,1435.5413004673703,-2000.3749910159952,0.994014980014994
7,-1734.5031799702028,1253.910453313469,-1962.393303723739,0.993020965034979
8,-1384.9097042219767,1156.2926188104489,-1890.2078537860189,0.9920279440699441
9,-1845.7552972903566,1197.655419524071,-1885.2686808420565,0.9910359161258742
10,-1786.9705006717702,1330.8725157123313,-1875.4388628250279,0.9900448802097482
11,-1456.575930439631,1230.7172869597543,-1837.3604144263554,0.9890548353295385
12,-1979.4242279472692,1268.6241115428556,-1849.1990655530983,0.988065780494209
13,-1820.9380804036948,1172.3357733409282,-1847.025143618529,0.9870777147137147
14,-2077.9984247963685,1424.375194866755,-1863.5232351312318,0.986090636999001
15,-2090.2844510045497,1202.0968889432174,-1878.6406495227864,0.9851045463620021
16,-1713.6977194425058,1248.0432082810523,-1868.3317163927686,0.98411944181564
17,-1983.186838259738,1424.9662255064923,-1875.0879000320022,0.9831353223738244
18,-2173.3332982900697,1365.4262939644188,-1891.657088824117,0.9821521870514506
19,-2107.8192190692757,1227.3186643190227,-1903.0340430475464,0.9811700348643991
20,-1718.508740461893,1270.7513065706823,-1893.8077779182636,0.9801888648295347
21,-2181.218259460109,1231.7366100705094,-1907.4939913250182,0.9792086759647052
22,-1855.816437413137,1361.3526249420916,-1905.145011601751,0.9782294672887405
23,-2218.0540028206287,1258.7176851115037,-1918.749750350398,0.9772512378214517
24,-1991.971950322574,1227.6056805356495,-1921.8006753492384,0.9762739865836303
25,-2444.593102510019,1315.0378539343299,-1942.7123724356697,0.9752977125970467
26,-1449.5812372526084,1194.2386440903142,-1923.7457903132442,0.9743224148844496
27,-1700.9084999552108,1379.338999970141,-1915.492557337021,0.9733480924695651
28,-1491.2058893477686,1292.8039262318453,-1900.3394620516904,0.9723747443770956
