episode,reward,shortage,moving_avg_reward,epsilon
1,-1608.7088531361787,1303.9725687574526,-1608.7088531361787,0.999
2,-2250.7248110672363,1346.5623005854445,-1929.7168321017075,0.998001
3,-2131.8976493779764,1267.7437289566283,-1997.110437860464,0.997002999
4,-1682.3019875496689,1161.8802451190631,-1918.408325282765,0.996005996001
5,-2388.7421942638553,1359.9221115052012,-2012.475099078983,0.995009990004999
6,-1939.8744507010558,1435.5413004673703,-2000.3749910159952,0.994014980014994
7,-1734.5031799702028,1253.910453313469,-1962.393303723739,0.993020965034979
8,-1384.9097042219767,1156.2926188104489,-1890.2078537860189,0.9920279440699441
9,-1845.7552972903566,1197.655419524071,-1885.2686808420565,0.9910359161258742
10,-1786.9705006717702,1330.8725157123313,-1875.4388628250279,0.9900448802097482
